id,استان,شهرستان,جمع,مرد,زن,شهری,روستایی
12,كرمان,عنبرآباد, 76.3 , 38.1 , 38.2 , 24.1 , 52.2 
03,چهارمحال وبختياري,فارسان, 95.8 , 48.8 , 47.0 , 82.0 , 13.8 
05,خراسان شمالي,فاروج, 47.8 , 24.2 , 23.6 , 16.6 , 31.2 
22,كرمان,فارياب, 31.3 , 15.5 , 15.8 , 3.6 , 27.7 
09,همدان,فامنين, 38.7 , 20.1 , 18.6 , 14.1 , 24.6 
22,فارس,فراشبند, 46.3 , 23.9 , 22.3 , 27.4 , 18.9 
13,مرکزي,فراهان, 29.0 , 14.7 , 14.3 , 14.6 , 14.4 
07,خراسان جنوبي,فردوس, 49.4 , 24.8 , 24.6 , 42.3 , 7.1 
06,البرز,فرديس, 587.7 , 298.4 , 289.3 , 556.6 , 31.1 
06,اصفهان,فريدن, 45.7 , 23.7 , 22.1 , 24.5 , 21.2 
07,اصفهان,فريدونشهر, 32.7 , 16.9 , 15.8 , 18.5 , 14.2 
23,مازندران,فريدونكنار, 61.9 , 31.4 , 30.5 , 44.4 , 17.5 
22,خراسان رضوئ,فريمان, 106.0 , 53.6 , 52.5 , 62.2 , 43.8 
08,فارس,فسا, 207.9 , 105.9 , 102.0 , 145.9 , 62.0 
08,اصفهان,فلاورجان, 249.3 , 127.5 , 121.8 , 171.9 , 77.4 
19,سيستان وبلوچستان,فنوج, 51.7 , 25.8 , 26.0 , 19.2 , 32.5 
19,كرمان,فهرج, 64.7 , 34.1 , 30.6 , 6.7 , 58.0 
09,گيلان,فومن, 90.1 , 44.8 , 45.3 , 41.0 , 49.0 
09,فارس,فيروزآباد, 116.0 , 58.7 , 57.3 , 76.2 , 39.8 
14,تهران,فيروزكوه, 31.2 , 15.8 , 15.4 , 17.9 , 13.3 
33,خراسان رضوئ,فيروزه, 40.3 , 20.5 , 19.8 , 11.4 , 28.9 
10,مازندران,قائم شهر, 308.2 , 154.5 , 153.7 , 217.3 , 90.9 
04,خراسان جنوبي,قائنات, 123.6 , 62.5 , 61.1 , 66.0 , 57.6 
16,تهران,قدس, 335.2 , 172.0 , 163.1 , 328.4 , 6.8 
21,تهران,قرچک, 295.0 , 151.4 , 143.6 , 256.9 , 38.1 
05,كردستان,قروه, 144.6 , 72.8 , 71.8 , 105.2 , 39.4 
03,قزوين,قزوين,621.8,316,305.8,518.2,103.6
04,هرمزگان,قشم, 160.1 , 81.7 , 78.4 , 84.7 , 75.3 
06,کرمانشاه,قصرشيرين, 23.2 , 12.0 , 11.2 , 19.8 , 3.5 
18,سيستان وبلوچستان,قصرقند, 66.3 , 32.9 , 33.5 , 18.2 , 48.1 
16,كرمان,قلعه گنج, 73.1 , 35.9 , 37.2 , 17.4 , 55.6 
01,قم,قم," 1,353.3 ", 686.0 , 667.3 ," 1,320.9 ", 32.4 
13,خراسان رضوئ,قوچان, 175.7 , 89.2 , 86.5 , 106.2 , 69.5 
20,فارس,قيروکارزين, 71.9 , 37.4 , 34.5 , 43.3 , 28.6 
14,خراسان رضوئ,كاشمر, 156.0 , 78.3 , 77.7 , 111.5 , 44.5 
08,كردستان,كامياران, 105.3 , 53.7 , 51.5 , 65.5 , 39.7 
05,همدان,كبودرآهنگ, 120.6 , 61.2 , 59.4 , 27.7 , 92.9 
04,گلستان,كردكوئ, 73.6 , 37.1 , 36.5 , 43.1 , 30.5 
08,كرمان,كرمان, 791.3 , 402.1 , 389.1 , 683.9 , 107.4 
28,خراسان رضوئ,كلات, 36.2 , 18.4 , 17.8 , 17.9 , 18.3 
09,گلستان,كلاله, 123.0 , 61.3 , 61.6 , 44.5 , 78.5 
06,بوشهر,كنگان, 112.9 , 73.0 , 39.9 , 85.6 , 27.3 
02,كهگيلويه وبويراحمد,كهگيلويه, 129.0 , 64.9 , 64.2 , 69.8 , 59.2 
09,كرمان,كهنوج, 101.0 , 51.0 , 50.0 , 63.6 , 37.4 
07,اردبيل,كوثر, 18.8 , 9.6 , 9.2 , 5.8 , 13.0 
14,كرمان,كوهبنان, 19.6 , 9.8 , 9.8 , 13.3 , 6.3 
27,خوزستان,کارون, 109.8 , 55.7 , 54.0 , 60.9 , 48.8 
10,فارس,کازرون, 219.1 , 110.5 , 108.6 , 123.9 , 95.2 
10,اصفهان,کاشان, 407.5 , 205.7 , 201.8 , 362.2 , 45.3 
